sample	cluster_joint_r0.3	cluster_joint_r0.5	cluster_joint_r0.8	cluster_joint_r4	tsne_x	tsne_y	modality
UMB5577_1_UMB5577_2_A10_AD001_rna	2	3	1	1	12.885162	-4.5730424	human_frontal_rna
UMB5577_1_UMB5577_2_A10_AD002_rna	1	2	2	12	7.6870217	-11.027214	human_frontal_rna
UMB5577_1_UMB5577_2_A10_AD004_rna	7	8	9	6	5.2918344	4.7489934	human_frontal_rna
UMB5577_1_UMB5577_2_A10_AD006_rna	9	10	11	9	-0.95410025	6.5278463	human_frontal_rna
UMB5577_1_UMB5577_2_A10_AD007_rna	12	13	13	16	19.809443	0.40609726	human_frontal_rna
UMB5577_1_UMB5577_2_A10_AD008_rna	1	2	2	20	7.0060225	-6.696861	human_frontal_rna
UMB5577_1_UMB5577_2_A10_AD010_rna	2	1	1	27	11.399046	-5.0052247	human_frontal_rna
UMB5577_1_UMB5577_2_A10_AD012_rna	3	4	5	8	16.15641	8.782394	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD001_rna	2	3	6	4	13.501283	-0.77431476	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD002_rna	15	16	20	36	-15.134962	-6.954075	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD004_rna	1	2	2	14	7.637619	-8.283943	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD006_rna	1	2	2	3	7.263122	-8.330894	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD007_rna	8	9	10	37	-4.7182083	-8.276403	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD008_rna	3	4	5	8	17.167618	8.9758625	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD010_rna	9	10	11	13	2.3097582	6.9957137	human_frontal_rna
UMB5577_1_UMB5577_2_A11_AD012_rna	1	2	2	14	6.2095585	-10.017762	human_frontal_rna
UMB5577_1_UMB5577_2_A1_AD002_rna	6	7	7	23	-1.6929582	-6.4875255	human_frontal_rna
UMB5577_1_UMB5577_2_A1_AD004_rna	2	3	1	1	13.081711	-4.6178493	human_frontal_rna
UMB5577_1_UMB5577_2_A1_AD006_rna	6	7	7	29	0.06064258	-9.115592	human_frontal_rna
UMB5577_1_UMB5577_2_A1_AD007_rna	1	1	17	18	12.006852	-10.541655	human_frontal_rna
UMB5577_1_UMB5577_2_A1_AD008_rna	6	7	18	33	-2.7370782	-7.568053	human_frontal_rna
UMB5577_1_UMB5577_2_A1_AD010_rna	5	6	8	22	9.150904	13.260573	human_frontal_rna
UMB5577_1_UMB5577_2_A1_AD012_rna	7	8	9	6	5.540546	3.7307334	human_frontal_rna
UMB5577_1_UMB5577_2_A2_AD002_rna	2	3	6	4	13.585726	-0.3171421	human_frontal_rna
UMB5577_1_UMB5577_2_A2_AD004_rna	4	5	11	39	-1.5113537	3.686436	human_frontal_rna
UMB5577_1_UMB5577_2_A2_AD006_rna	3	4	5	8	16.341108	9.121762	human_frontal_rna
UMB5577_1_UMB5577_2_A2_AD007_rna	8	9	10	30	-5.8685026	-6.0499725	human_frontal_rna
UMB5577_1_UMB5577_2_A2_AD008_rna	1	1	3	20	8.626628	-6.1224875	human_frontal_rna
UMB5577_1_UMB5577_2_A2_AD010_rna	1	2	2	12	9.084555	-10.205737	human_frontal_rna
UMB5577_1_UMB5577_2_A2_AD012_rna	6	7	7	32	0.9092883	-8.575337	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD001_rna	9	10	11	9	-0.076136105	5.552744	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD002_rna	2	3	1	26	12.972541	-2.263797	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD004_rna	3	4	5	2	15.867658	6.7875495	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD006_rna	3	4	5	2	14.326759	7.792974	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD007_rna	11	12	6	10	15.213065	2.1975107	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD008_rna	4	5	4	11	0.22791466	2.2150106	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD010_rna	1	2	2	3	7.0658355	-8.018146	human_frontal_rna
UMB5577_1_UMB5577_2_A3_AD012_rna	10	11	14	19	-2.6052027	-1.514935	human_frontal_rna
UMB5577_1_UMB5577_2_A4_AD001_rna	1	2	3	20	7.200336	-6.9897184	human_frontal_rna
UMB5577_1_UMB5577_2_A4_AD002_rna	10	11	14	19	-3.8127315	-2.1007707	human_frontal_rna
UMB5577_1_UMB5577_2_A4_AD006_rna	1	1	3	7	10.272504	-7.6416683	human_frontal_rna
UMB5577_1_UMB5577_2_A4_AD007_rna	3	4	5	2	14.605488	7.7244654	human_frontal_rna
UMB5577_1_UMB5577_2_A4_AD008_rna	9	10	11	9	-1.24909	6.033539	human_frontal_rna
UMB5577_1_UMB5577_2_A4_AD010_rna	1	2	2	3	6.208737	-7.826206	human_frontal_rna
UMB5577_1_UMB5577_2_A4_AD012_rna	1	2	3	20	7.4219017	-6.7422934	human_frontal_rna
UMB5577_1_UMB5577_2_A5_AD001_rna	2	3	1	25	10.778364	-3.7315023	human_frontal_rna
UMB5577_1_UMB5577_2_A5_AD002_rna	15	16	20	36	-14.994241	-7.62037	human_frontal_rna
UMB5577_1_UMB5577_2_A5_AD004_rna	1	2	2	12	7.930032	-10.945396	human_frontal_rna
UMB5577_1_UMB5577_2_A5_AD006_rna	2	3	1	5	12.365847	-2.7823672	human_frontal_rna
